Label,Count
Thrips-Leaf_Vein-Dark_Green,5
background_soil,1634
K-Leaf_Black-Patch_Upper-Margin,36
K-Leaf_Tip-Purple,1680
Leaf_Old-Age,296
PMD-Leaf-White_Patches,311
hole,739
Leaf_healthy,4391
fruit_healthy_matured,204
N-Leaf-Yellowish_Green,72
Thrips-Flower-Brown,73
Leaf_Aphid-Exuvia,534
Thrips-Fruit-Browning,85
Thrips-Leaf-Silvering,283
Foreground,9
Leaf_Young_Other-Damage,24
Leaf_dry,38
weed,477
Fruit-Rot,31
P-Leaf-Metallic_Purple_Tint,0
background_mulch,5530
fruit_healthy_immature,2834
Flower,17
K-Leaf_Midrib-Browning,3
Flower_Middle-Age,2
Flower_Other-Damage,12
Fruit_Other-Damage,15
Leaf_young_whorl,1
flower_matured,344
Background,1
Leaf_Other-Damage,180
K-Leaf_Base-Browning,0
Ca-Leaf_Tip-Fibrous,217
Thrips-Flower_Petals-Turn_Cream,74
Ca-Fruit_Nearby_Dense-Seed,8
Leaf,0
flower_healthy,278
Leaf_Young-Age,386
Leaf_Middle-Age,349
Ca-Leaf-Crinkled,253
Mg-Leaf_Tip-Deep_Necrotic_Browning,75
Fruit_Other_Damage_mature,74
Petiole_Other-Damage,0
PMD-Leaf-Curling-Inward_Longitudinal_Axis,2113
treatment_residue,1332
P-Leaf-Blackish_Green,3
Leaf_young,100
Fruit,0
Petiole,88
N-Leaf_Size-Reduction,6
Flower_Young-Age,15
Fruit_Other_Damage-Immature,108
Leaf_Aphid,58
Thrips-Leaf-Brown_Spots,246
Aphid-Flower,11
Flower_Old-Age,1
Ca-Leaf_Tip-Puckered,185
Mg-Leaf_Interveinal-Chlorosis,307
Fe-Leaf-Yellowing,9
Fe-Leaf-Browning,4
Mg-Leaf-Pink_Patches,0
K-Leaf-Purple_Patches,0
Signed,1501
